Uzytkownik_ID,Imie,Nazwisko,Email,Telefon,Haslo,Rola_ID
1,Jan,Kowalski,user1@mail.com,500100101,haslo1,2
2,Anna,Nowak,user2@mail.com,500100102,haslo2,3
3,Piotr,Wilanowski,user3@mail.com,500100103,haslo3,2
4,Ewa,Wojcik,user4@mail.com,500100104,haslo4,2
5,Tomasz,Kamilski,user5@mail.com,500100105,haslo5,3
6,Maria,Lewandowska,user6@mail.com,500100106,haslo6,2
7,Krzysztof,Zielinski,user7@mail.com,500100107,haslo7,4
8,Agnieszka,Szymanska,user8@mail.com,500100108,haslo8,2
9,Pawe³,Woœniak,user9@mail.com,500100109,haslo9,2
10,Zofia,Dabrowska,user10@mail.com,5001001010,haslo10,1
